ID,rA,rB,rC,rD,rE,rF,rG,rH,rI,rAa,rAb,rCa,rCb,rAc,rBc,rCc,rHl,rHu
20621,2,3,0,2,3,1,0,2,0,2,2,3,0,3,2,1,2,2
20623,0,1,2,2,3,1,2,2,2,0,0,1,2,1,0,3,2,2
20624,3,2,0,2,0,1,2,2,2,3,0,3,0,2,3,1,2,2
20625,0,1,0,2,3,1,0,2,2,0,0,3,0,1,0,1,2,2
20627,2,3,3,2,1,2,3,3,3,2,2,3,3,3,2,2,1,3
20628,2,3,0,2,3,1,0,2,1,2,2,3,0,3,2,1,2,2
20630,2,3,1,2,1,2,3,3,3,2,2,1,1,3,2,0,1,3
20631,0,1,3,2,0,2,2,2,1,0,0,3,3,1,0,2,2,2
20636,2,1,3,2,1,1,3,1,1,2,2,3,3,3,0,2,1,1
20638,2,1,3,2,0,2,3,1,1,2,2,3,3,3,0,2,1,1
20919,0,2,3,2,0,1,2,1,2,0,0,3,3,1,3,2,1,1
20921,0,1,3,2,0,2,1,1,1,0,0,3,3,1,0,2,1,1
20922,0,1,3,2,3,1,1,1,1,0,0,3,3,1,0,2,1,1
20923,0,1,3,2,3,1,1,1,1,0,0,3,3,1,0,2,1,1
20925,0,1,0,2,3,1,2,2,2,0,0,3,0,1,0,1,2,2
20927,3,2,0,2,0,2,2,2,2,3,0,3,0,2,3,1,2,2
20943,2,1,0,2,1,1,0,2,1,2,2,3,0,3,0,1,2,2
20946,1,2,2,2,1,1,2,2,1,1,2,1,2,0,3,3,2,2
20947,2,1,0,2,1,1,0,2,2,2,2,3,0,3,0,1,2,2
20964,2,1,3,2,3,1,0,1,1,2,2,3,3,3,0,2,1,1
20968,2,3,0,2,3,1,0,2,3,2,2,3,0,3,2,1,2,2
20973,2,3,0,2,3,1,0,2,0,2,2,3,0,3,2,1,2,2
20975,1,0,0,2,3,1,0,2,3,1,2,3,0,0,1,1,2,2
20978,1,0,1,2,2,2,2,0,2,1,2,1,1,0,1,0,2,0
20985,1,0,2,2,2,2,0,2,2,1,2,1,2,0,1,3,2,2
21667,0,1,0,0,1,1,0,0,2,0,0,3,0,1,0,1,0,2
21668,0,2,0,0,1,1,0,0,2,0,0,3,0,1,3,1,0,2
21669,0,2,0,0,1,1,0,0,2,0,0,3,0,1,3,1,0,2
21670,0,2,3,0,1,1,3,3,2,0,0,3,3,1,3,2,3,1
23040,0,1,3,2,3,2,1,1,1,0,0,3,3,1,0,2,1,1
23055,2,1,3,2,3,2,3,1,1,2,2,3,3,3,0,2,1,1
23192,3,2,2,0,1,3,2,2,2,3,0,1,2,2,3,3,2,2
23193,3,2,2,0,2,3,2,2,2,3,0,1,2,2,3,3,2,2
23194,3,2,2,0,1,3,2,2,1,3,0,1,2,2,3,3,2,2
23195,3,2,2,0,1,3,2,0,2,3,0,1,2,2,3,3,0,2
23196,0,1,2,0,1,3,2,0,2,0,0,1,2,1,0,3,0,2
23198,0,2,2,0,2,3,2,2,2,0,0,1,2,1,3,3,2,2
24048,0,2,2,0,1,3,2,2,2,0,0,1,2,1,3,3,2,2
24054,3,2,2,0,2,3,2,2,2,3,0,1,2,2,3,3,2,2
24059,3,2,2,0,2,3,2,2,2,3,0,1,2,2,3,3,2,2
24220,2,3,0,2,3,1,0,2,0,2,2,3,0,3,2,1,2,2
24468,2,3,2,2,1,2,0,0,1,2,2,1,2,3,2,3,2,0
24470,0,1,3,0,1,1,2,1,1,0,0,3,3,1,0,2,1,1
24471,2,1,3,2,3,2,3,1,1,2,2,3,3,3,0,2,1,1
24472,2,1,3,2,0,2,0,1,1,2,2,3,3,3,0,2,1,1
24474,0,1,0,2,1,2,2,2,1,0,0,3,0,1,0,1,2,2
24475,2,1,0,2,3,1,2,2,2,2,2,3,0,3,0,1,2,2
24476,2,1,0,2,3,1,2,2,2,2,2,3,0,3,0,1,2,2
24477,2,1,3,2,1,1,0,3,1,2,2,3,3,3,0,2,1,3
24480,0,1,2,0,3,1,2,2,1,0,0,1,2,1,0,3,2,2
24482,2,1,3,2,3,2,3,1,1,2,2,3,3,3,0,2,1,1
24485,0,1,3,2,3,2,3,1,2,0,0,3,3,1,0,2,1,1
24486,0,1,3,2,0,2,3,1,1,0,0,3,3,1,0,2,1,1
24487,0,1,3,2,3,2,2,1,1,0,0,3,3,1,0,2,1,1
24490,0,1,3,2,0,2,1,1,1,0,0,3,3,1,0,2,1,1
24492,0,1,0,2,3,2,2,2,2,0,0,3,0,1,0,1,2,2
24496,0,1,0,2,3,1,2,2,2,0,0,3,0,1,0,1,2,2
24499,0,2,0,2,3,2,2,2,2,0,0,3,0,1,3,1,2,2
24500,0,1,3,2,3,1,1,1,1,0,0,3,3,1,0,2,1,1
24501,0,1,3,2,0,1,1,1,1,0,0,3,3,1,0,2,1,1
24504,0,1,3,2,3,1,1,1,1,0,0,3,3,1,0,2,1,1
24505,1,2,0,2,3,1,2,2,2,1,2,3,0,0,3,1,2,2
24511,0,2,2,2,3,1,2,2,1,0,0,1,2,1,3,3,2,2
24513,0,1,3,2,3,2,0,2,1,0,0,3,3,1,0,2,2,2
24514,0,1,3,2,0,2,3,1,1,0,0,3,3,1,0,2,1,1
24515,0,1,3,2,3,2,0,2,1,0,0,3,3,1,0,2,2,2
24516,2,1,3,2,0,2,3,1,1,2,2,3,3,3,0,2,1,1
24517,0,1,3,2,3,2,3,1,1,0,0,3,3,1,0,2,1,1
24518,0,1,3,2,3,2,3,1,1,0,0,3,3,1,0,2,1,1
24519,0,1,3,2,3,2,3,1,1,0,0,3,3,1,0,2,1,1
24520,0,1,0,2,3,2,0,2,1,0,0,3,0,1,0,1,2,2
24521,0,1,0,2,3,2,0,2,1,0,0,3,0,1,0,1,2,2
24522,0,1,3,2,3,1,2,1,1,0,0,3,3,1,0,2,1,1
24524,0,1,2,2,3,1,2,2,1,0,0,1,2,1,0,3,2,2
24525,0,1,2,2,3,1,2,2,1,0,0,1,2,1,0,3,2,2
24528,2,3,1,2,1,2,2,3,1,2,2,1,1,3,2,0,1,3
24529,2,3,1,2,1,2,2,3,1,2,2,1,1,3,2,0,1,3
24531,1,2,0,2,3,1,2,2,1,1,2,3,0,0,3,1,2,2
24532,1,2,0,1,0,1,2,2,2,1,2,3,0,0,3,1,2,2
24534,1,2,0,1,0,1,2,2,1,1,2,3,0,0,3,1,2,2
24535,1,2,0,1,0,1,2,2,1,1,2,3,0,0,3,1,2,2
24540,0,1,0,2,3,1,2,2,2,0,0,3,0,1,0,1,2,2
24541,2,1,0,2,1,1,0,2,2,2,2,3,0,3,0,1,2,2
24542,2,1,0,2,2,2,0,2,1,2,2,3,0,3,0,1,2,2
24543,2,1,0,2,2,2,0,2,2,2,2,3,0,3,0,1,2,2
