ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,13.28,18.77,27.19,1701.19,52.03,-17,69.03,11.06,-3.41,35.73,-6.85,141,16,6,28.79,47,21,33,25.00,10.00,268.12,1697.83,268.12,1429.71,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,22.26,14.67,45.30,523.11,39,6.63,32.38,24.46,18.50,28.17,15.20,1395,431,13,113.97,943,81,198,92.00,418.00,1811.93,2374.47,1811.93,562.55,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,9.50,17.04,31.37,1400.61,35.78,-18.51,54.30,26.32,-7.57,26.32,-7.57,207,64,1,112.71,139,5,139,5.00,63.00,385.26,1362.02,385.26,976.76,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,8.51,22.34,40.67,1213.72,39.18,-15.75,54.93,25.03,-0.75,25.03,-4.68,78,23,0,100.34,54,2,54,5.00,23.00,151.42,1274.98,151.42,1123.56,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,21.44,19.26,45.52,795.86,41.89,-0.41,42.30,28.09,16.23,29.54,10.69,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2324.79,353.82,1970.97,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,21.44,19.26,45.52,795.86,41.89,-0.41,42.30,28.09,16.23,29.54,10.69,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2324.79,353.82,1970.97,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,21.44,19.26,45.52,795.86,41.89,-0.41,42.30,28.09,16.23,29.54,10.69,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2324.79,353.82,1970.97,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,21.44,19.26,45.52,795.86,41.89,-0.41,42.30,28.09,16.23,29.54,10.69,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2324.79,353.82,1970.97,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,13.88,15.83,35.27,1056.82,36.71,-8.16,44.87,24.68,0.40,25.65,0.40,296,48,1,73.91,140,7,134,7.00,47.00,535.30,1750.18,535.30,1214.88,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,14.27,15.90,34.22,1088.93,38.10,-8.37,46.47,25.15,0.45,26.45,0.45,288,47,1,75.82,139,5,134,5.00,46.00,522.18,1783.88,522.18,1261.71,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,20.97,5.52,34.70,360.74,28.88,12.96,15.92,24.18,17.36,24.39,15.99,1378,292,4,92.25,770,37,769,43.00,288.00,1798.44,2295.08,1798.44,496.63,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,16,16.47,32.89,1200.60,41.25,-8.83,50.08,29.44,0.88,29.44,0.88,230,41,1,80.70,119,5,119,5.00,40.00,424.89,1929.41,424.89,1504.52,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,21.56,9.47,54.26,229.34,29.78,12.32,17.45,22.83,18.19,23.47,18.19,897,183,2,82.27,438,19,310,19.00,181.00,1346.32,2332.23,1346.32,985.91,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,21.10,8.48,50.79,291.04,28.84,12.15,16.69,22.84,18.38,23.76,16.80,1112,187,5,81.95,528,24,369,24.00,182.00,1566.32,2303.38,1566.32,737.06,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,22.19,7.65,31.72,651.52,33.46,9.36,24.10,27.91,13.92,29.21,13.92,730,85,27,33.37,253,101,217,101.00,58.00,1152.39,2370.34,1152.39,1217.95,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
