ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,9.76,12.95,24.30,1530.37,33.99,-19.31,53.30,26.95,-6.14,26.95,-10.58,79,14,3,41.11,31,12,31,15.00,11.00,153.31,1385.06,153.31,1231.74,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,19.73,10.11,34.27,507.87,34.62,5.13,29.49,22.49,15.22,25.74,13.12,1489,472,11,120.22,1043,85,658,120.00,461.00,1883.82,2212.42,1883.82,328.60,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,11,12.86,27.56,1269.29,34.03,-12.63,46.66,26.60,-1.34,26.60,-5.09,188,33,3,63.31,79,23,79,40.00,30.00,352.06,1495.50,352.06,1143.44,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,1.30,13.07,34.99,876.05,18.92,-18.43,37.35,6.82,1.32,11.46,-10.21,223,31,7,35.87,75,31,64,62.00,24.00,412.89,715.84,412.89,302.95,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.71,13.66,35.94,775.55,43.56,5.54,38.02,33.07,17.01,33.07,14.28,215,83,0,138.78,150,6,80,19.00,83.00,399.11,2506.65,399.11,2107.54,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,24.71,13.66,35.94,775.55,43.56,5.54,38.02,33.07,17.01,33.07,14.28,215,83,0,138.78,150,6,80,19.00,83.00,399.11,2506.65,399.11,2107.54,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,24.71,13.66,35.94,775.55,43.56,5.54,38.02,33.07,17.01,33.07,14.28,215,83,0,138.78,150,6,80,19.00,83.00,399.11,2506.65,399.11,2107.54,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,24.71,13.66,35.94,775.55,43.56,5.54,38.02,33.07,17.01,33.07,14.28,215,83,0,138.78,150,6,80,19.00,83.00,399.11,2506.65,399.11,2107.54,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,9.69,12.39,35.94,734.13,24.94,-9.53,34.47,17.83,-0.25,17.83,-0.25,561,109,3,85.55,294,10,294,10.00,106.00,932.98,1378.85,932.98,445.87,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,10.33,12.12,34.75,779.77,25.47,-9.41,34.88,19.08,-0.11,19.08,-0.11,541,101,2,84.74,287,10,287,10.00,99.00,905.35,1435.74,905.35,530.40,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,21.84,9.15,40.16,411.48,33.34,10.55,22.79,25.71,16.21,25.95,16.21,1117,310,3,112.40,727,16,631,16.00,307.00,1571.07,2349.37,1571.07,778.30,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,13.32,12.17,31.67,930.12,30.49,-7.94,38.43,24,5.72,24,1,415,84,3,86.31,238,15,238,28.00,81.00,722.56,1701.34,722.56,978.78,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,26.50,10.21,56.77,250.83,34.82,16.83,17.99,28.14,24.70,29.11,23.12,785,150,0,91.07,371,6,303,8.00,150.00,1218.65,2588.31,1218.65,1369.67,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,26.14,9.90,53.48,286.34,34.78,16.26,18.52,27.80,23.61,29.07,22.11,1110,216,0,95.07,614,4,365,10.00,216.00,1564.42,2572.86,1564.42,1008.44,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,16.88,8.96,27.72,838.66,33.51,1.20,32.31,27.06,6.39,27.06,6.39,1090,233,26,65.49,511,107,511,107.00,207.00,1545.22,2000.38,1545.22,455.16,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,17.44,10.01,29.83,831.07,34.38,0.84,33.55,27.40,6.93,27.40,6.93,976,193,22,63.39,450,92,450,92.00,171.00,1430.83,2044.30,1430.83,613.47,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,16.56,9.53,28.62,869.84,33.60,0.29,33.31,26.30,7.77,27.20,5.67,824,233,21,89.26,459,79,458,89.00,212.00,1264.19,1974.84,1264.19,710.65,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,16.56,9.53,28.62,869.84,33.60,0.29,33.31,26.30,7.77,27.20,5.67,824,233,21,89.26,459,79,458,89.00,212.00,1264.19,1974.84,1264.19,710.65,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
28899,118.10,31.09,17.28,8.35,26.64,796.95,33.55,2.22,31.33,24.33,7.29,26.93,7.29,1373,252,24,61.57,623,108,588,108.00,228.00,1794.44,2031.85,1794.44,237.41,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
29079,118.42,32.85,16.49,9.75,29.42,854.34,33.46,0.31,33.15,26.13,7.72,26.88,5.78,906,244,21,82.86,484,87,473,95.00,223.00,1356.17,1969.21,1356.17,613.04,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26586,70.10,30.10,20.65,11.59,34.44,692.12,37.52,3.88,33.64,26.34,13.65,28.17,11.42,327,121,3,122.43,208,21,105,37.00,118.00,585.52,2274.33,585.52,1688.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
