ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,5.24,10.71,21.22,1432.93,27.74,-22.72,50.46,20.26,-13.51,21.48,-13.51,303,43,10,43.74,108,33,91,33.00,33.00,546.73,1001.14,546.73,454.40,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,22.10,13.09,28.99,1083.39,45.71,0.56,45.16,33.58,14.67,35.26,8.67,220,84,0,146.62,155,0,106,39.00,84.00,407.73,2365.00,407.73,1957.26,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,8.09,11.98,24.72,1296.69,30.95,-17.51,48.46,23.61,-6.78,23.61,-8.49,294,65,3,69.34,140,25,140,40.00,62.00,532.03,1238.48,532.03,706.45,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,9.06,13.83,29.36,1210.96,31.74,-15.36,47.10,24.02,-4.70,24.02,-6.14,105,27,0,113.04,73,0,73,1.00,27.00,202.04,1323.18,202.04,1121.15,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,22.03,15.03,33.92,1083.59,45.43,1.11,44.32,27.87,33.87,35.20,8.59,122,60,0,146.50,68,1,61,32.00,60.00,233.44,2360.82,233.44,2127.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,22.03,15.03,33.92,1083.59,45.43,1.11,44.32,27.87,33.87,35.20,8.59,122,60,0,146.50,68,1,61,32.00,60.00,233.44,2360.82,233.44,2127.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,22.03,15.03,33.92,1083.59,45.43,1.11,44.32,27.87,33.87,35.20,8.59,122,60,0,146.50,68,1,61,32.00,60.00,233.44,2360.82,233.44,2127.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,22.03,15.03,33.92,1083.59,45.43,1.11,44.32,27.87,33.87,35.20,8.59,122,60,0,146.50,68,1,61,32.00,60.00,233.44,2360.82,233.44,2127.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,18.29,15.81,31.69,1221.31,43.06,-6.82,49.89,32.95,3.86,32.95,2.46,108,24,0,81.46,61,1,61,1.00,24.00,207.60,2108.93,207.60,1901.32,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
