ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,6.70,12.15,23.58,1458.79,30.33,-21.20,51.53,-0.76,23.54,23.54,-12.33,257,39,11,33.73,78,46,46,61.00,28.00,470.65,1120.17,470.65,649.53,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,24,11.49,29.88,779.22,43.97,5.52,38.45,30.55,29.88,32.78,13.68,1007,336,8,134.84,805,44,586,80.00,328.00,1462.80,2470.83,1462.80,1008.03,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,6.30,12.21,25.26,1270.10,29.76,-18.59,48.35,21.79,-6.83,21.79,-9.83,294,55,7,62.35,142,38,142,51.00,48.00,532.03,1086.97,532.03,554.94,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,6.14,14.40,32,1114.09,27.75,-17.27,45.02,12.87,-5.03,19.24,-8.47,80,22,0,85.50,47,5,30,9.00,22.00,155.20,1073.80,155.20,918.60,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.67,14.37,33.76,923.30,46.54,3.99,42.56,33.13,15.32,35.06,12.43,178,72,0,135.67,124,9,116,19.00,72.00,334.42,2504.69,334.42,2170.26,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,24.67,14.37,33.76,923.30,46.54,3.99,42.56,33.13,15.32,35.06,12.43,178,72,0,135.67,124,9,116,19.00,72.00,334.42,2504.69,334.42,2170.26,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,24.67,14.37,33.76,923.30,46.54,3.99,42.56,33.13,15.32,35.06,12.43,178,72,0,135.67,124,9,116,19.00,72.00,334.42,2504.69,334.42,2170.26,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,24.67,14.37,33.76,923.30,46.54,3.99,42.56,33.13,15.32,35.06,12.43,178,72,0,135.67,124,9,116,19.00,72.00,334.42,2504.69,334.42,2170.26,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,16.09,16.50,36.87,1002.67,38.47,-6.29,44.76,26.92,3.93,28.19,3.02,130,24,0,72.23,63,3,60,3.00,24.00,248.10,1936.77,248.10,1688.67,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,16.26,16.45,36.13,1036.91,38.92,-6.61,45.53,27.20,2.91,28.87,2.91,121,24,0,75.92,60,1,58,1.00,24.00,231.60,1950.61,231.60,1719.01,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,23.13,9.85,41.15,471.50,34.45,10.52,23.93,27.24,17.63,27.58,16.53,1125,292,1,113.12,739,8,606,10.00,291.00,1578.64,2424.19,1578.64,845.55,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,17.13,16.36,33.38,1170.32,41.26,-7.75,49.02,31.42,2.68,31.42,2.28,97,24,0,80.96,52,1,52,2.00,24.00,187.13,2020.11,187.13,1832.98,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,26.35,10.35,52.26,314.85,35.68,15.87,19.81,27.78,23.66,29.84,21.99,839,187,0,92.99,441,6,256,10.00,187.00,1281.39,2581.93,1281.39,1300.54,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,26.50,10.46,47.89,389.41,36.97,15.12,21.84,29,22.54,30.65,20.96,912,208,0,105.66,551,6,244,13.00,208.00,1362.71,2588.31,1362.71,1225.61,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,17.21,10.46,28.65,972.74,34.75,-1.75,36.50,28.90,4.68,28.90,4.68,849,239,9,93.42,452,39,452,39.00,230.00,1292.76,2026.38,1292.76,733.62,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,17.79,11.39,30.36,984.13,35.63,-1.87,37.50,29.51,6.64,29.51,5.05,750,204,6,92.77,411,24,411,30.00,198.00,1176.77,2071.21,1176.77,894.45,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,16.71,10.83,28.52,1008.39,35.12,-2.86,37.98,27.27,5.72,28.94,3.75,635,231,6,116.35,397,29,383,39.00,225.00,1032.09,1986.85,1032.09,954.76,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,16.71,10.83,28.52,1008.39,35.12,-2.86,37.98,27.27,5.72,28.94,3.75,635,231,6,116.35,397,29,383,39.00,225.00,1032.09,1986.85,1032.09,954.76,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
28899,118.10,31.09,17.78,10.27,28.66,939.47,35.14,-0.69,35.83,26.94,5.61,29.04,5.61,1067,220,8,79.98,513,37,504,37.00,212.00,1522.84,2070.45,1522.84,547.61,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
