ID,NB_SPC,HYP_v0,LOP_v0,HOD_v0,AL_v0,OL_v0,SF_v0,OT_v0,CM_v0,OO_v0,ETH_v0,LOPT_v0,HYP_v1,AL_v1,AL2_v1,OL_v1,SF_v1,OT_v1,OO_v1,BU_v1
enabled_col,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T
127031,6,1.833,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127032,5,2.000,2.000,1.000,0.600,1.000,0.000,0.000,0.000,0.400,0.000,0.000,2.200,0.600,1.000,0.400,0.000,0.000,0.400,0.000
127033,5,2.000,2.000,1.000,0.600,1.000,0.000,0.000,0.000,0.400,0.000,0.000,2.200,0.600,1.000,0.400,0.000,0.000,0.400,0.000
127034,4,1.750,2.000,1.000,0.750,1.000,0.000,0.000,0.000,0.250,0.000,0.000,2.000,0.750,1.000,0.250,0.000,0.000,0.250,0.000
127035,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127036,6,1.833,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127037,6,1.833,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127038,6,1.500,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,1.667,0.833,1.000,0.167,0.000,0.000,0.167,0.000
127039,5,1.200,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127040,5,1.200,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127041,6,1.500,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,1.667,0.833,1.000,0.167,0.000,0.000,0.167,0.000
127042,7,1.429,1.714,1.000,0.571,0.857,0.000,0.000,0.000,0.286,0.143,0.000,1.571,0.714,0.857,0.143,0.000,0.000,0.143,0.143
127043,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127044,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
