ID,LONG,LAT,rA,rB,rC,rD,rE,rF,rG,rH,rI,rAa,rAb,rCa,rCb,rAc,rBc,rCc,rHl,rHu
127065,113.693200,49.575830,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127066,114.385900,49.575830,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127067,115.078600,49.575830,2,3,3,2,3,2,0,2,0,2,2,3,3,3,2,2,2,2
127068,115.771200,49.575830,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127069,116.463900,49.575830,2,3,3,2,3,0,3,1,0,2,2,3,3,3,2,2,1,1
127070,117.156600,49.575830,2,3,3,2,3,3,0,1,3,2,2,3,3,3,2,2,1,1
127071,117.849300,49.575830,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127072,118.541900,49.575830,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127073,119.234600,49.575830,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127074,119.927300,49.575830,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127075,120.620000,49.575830,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127076,121.312600,49.575830,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127077,122.005300,49.575830,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127078,122.698000,49.575830,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127079,123.390600,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127080,124.083300,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127081,124.776000,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127082,125.468700,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127083,126.161300,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127084,126.854000,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127085,127.546700,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127086,128.239300,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127087,128.932000,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127088,129.624700,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127089,130.317400,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127090,131.010000,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127091,131.702700,49.575830,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127092,132.395400,49.575830,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127093,133.088100,49.575830,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
127094,133.780700,49.575830,2,3,2,2,3,3,2,0,3,2,2,1,2,3,2,3,2,0
127095,134.473400,49.575830,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
127096,135.166100,49.575830,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127097,135.858700,49.575830,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127098,136.551400,49.575830,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127099,137.244100,49.575830,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127100,137.936800,49.575830,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127101,138.629400,49.575830,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127102,139.322100,49.575830,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127103,140.014800,49.575830,2,3,0,2,3,1,2,0,3,2,2,3,0,3,2,1,2,0
127522,67.782100,49.126670,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127523,68.468500,49.126670,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127524,69.154800,49.126670,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
127525,69.841200,49.126670,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
127526,70.527600,49.126670,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
127527,71.214000,49.126670,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127531,73.959500,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127532,74.645800,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127533,75.332200,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127534,76.018600,49.126670,2,3,3,2,3,2,2,0,0,2,2,3,3,3,2,2,2,0
127535,76.705000,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127536,77.391400,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127537,78.077700,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127538,78.764100,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127539,79.450500,49.126670,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127543,82.196000,49.126670,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
127544,82.882400,49.126670,2,0,0,2,3,1,2,0,3,2,2,3,0,3,1,1,2,0
127545,83.568700,49.126670,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127546,84.255100,49.126670,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
127547,84.941500,49.126670,2,0,0,2,3,1,2,0,3,2,2,3,0,3,1,1,2,0
127548,85.627900,49.126670,2,3,0,2,3,1,2,0,3,2,2,3,0,3,2,1,2,0
127549,86.314300,49.126670,2,3,3,2,3,1,2,3,3,2,2,3,3,3,2,2,1,3
127550,87.000600,49.126670,2,3,3,0,3,1,2,3,3,2,2,3,3,3,2,2,1,3
127551,87.687000,49.126670,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
127552,88.373400,49.126670,2,3,3,0,3,2,2,3,0,2,2,3,3,3,2,2,1,3
127553,89.059800,49.126670,2,3,3,0,3,2,1,3,0,2,2,3,3,3,2,2,1,3
127554,89.746100,49.126670,2,3,3,2,3,2,1,3,0,2,2,3,3,3,2,2,1,3
127555,90.432500,49.126670,2,3,3,2,3,2,3,3,0,2,2,3,3,3,2,2,1,3
127556,91.118900,49.126670,2,3,3,2,3,2,3,3,0,2,2,3,3,3,2,2,1,3
127557,91.805300,49.126670,2,3,3,2,3,0,3,3,0,2,2,3,3,3,2,2,1,3
127558,92.491700,49.126670,2,3,3,2,3,0,3,1,0,2,2,3,3,3,2,2,1,1
127559,93.178000,49.126670,2,3,3,2,3,0,3,1,0,2,2,3,3,3,2,2,1,1
127560,93.864400,49.126670,2,3,3,2,3,0,3,1,0,2,2,3,3,3,2,2,1,1
127561,94.550800,49.126670,2,3,3,2,3,3,0,3,3,2,2,3,3,3,2,2,1,3
127562,95.237200,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127563,95.923500,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127564,96.609900,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127565,97.296300,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127566,97.982700,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127567,98.669000,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127568,99.355400,49.126670,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127569,100.041800,49.126670,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127570,100.728200,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127571,101.414600,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127572,102.100900,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127573,102.787300,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127574,103.473700,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127575,104.160100,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127576,104.846400,49.126670,2,3,0,2,3,1,0,2,3,2,2,3,0,3,2,1,2,2
127577,105.532800,49.126670,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127578,106.219200,49.126670,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127579,106.905600,49.126670,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127580,107.591900,49.126670,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127581,108.278300,49.126670,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127582,108.964700,49.126670,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127583,109.651100,49.126670,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127584,110.337500,49.126670,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
127585,111.023800,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127586,111.710200,49.126670,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
127588,113.083000,49.126670,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127589,113.769300,49.126670,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127590,114.455700,49.126670,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127591,115.142100,49.126670,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127592,115.828500,49.126670,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
127593,116.514800,49.126670,2,3,3,2,3,2,0,2,0,2,2,3,3,3,2,2,2,2
127594,117.201200,49.126670,2,3,3,2,3,3,0,1,3,2,2,3,3,3,2,2,1,1
127595,117.887600,49.126670,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127596,118.574000,49.126670,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127597,119.260400,49.126670,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
127598,119.946700,49.126670,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
