id,HYP,AL,AL2,OL,SF,OT,OO,BU,
Trachypithecus obscurus,1,1,1,0,0,0,0,0,
Trachypithecus phayrei,1,1,1,0,0,0,0,0,
Trachypithecus pileatus,1,1,1,0,0,0,0,0,
Trachypithecus shortridgei,1,0,0,0,0,0,0,1,
Trachypithecus vetulus,1,1,1,0,0,0,0,0,
Hylobates agilis,1,0,0,0,0,0,0,1,
Hylobates albibarbis,1,0,0,0,0,0,0,1,
Hylobates klossii,1,0,0,0,0,0,0,1,
Hylobates lar,1,0,0,0,0,0,0,1,
Hylobates moloch,1,0,0,0,0,0,0,1,
Hylobates muelleri,1,0,0,0,0,0,0,1,
Hylobates pileatus,1,0,0,0,0,0,0,1,
Nomascus concolor,1,0,0,0,0,0,0,1,
Pongo abelii,1,0,0,0,0,0,0,1,
Pongo pygmaeus,1,0,0,0,0,0,0,1,
Elephas maximus,3,0,0,1,0,1,0,0,
Loris lydekkerianus,1,0,0,0,0,0,0,1,
Loris tardigradus,1,0,0,0,0,0,0,1,
Nycticebus bengalensis,1,0,0,0,0,0,0,1,
Nycticebus coucang,1,0,0,0,0,0,0,1,
Nycticebus pygmaeus,1,0,0,0,0,0,0,1,
Tarsius bancanus,1,0,0,0,0,0,0,1,
Tarsius dentatus,1,0,0,0,0,0,0,1,
Tarsius pelengensis,1,0,0,0,0,0,0,1,
Tarsius pumilus,1,0,0,0,0,0,0,1,
Tarsius syrichta,1,0,0,0,0,0,0,1,
Tarsius tarsier,1,0,0,0,0,0,0,1,
Nomascus gabriellae,1,0,0,0,0,0,0,1,
Nomascus leucogenys,1,0,0,0,0,0,0,1,
Nomascus siki,1,0,0,0,0,0,0,1,
Symphalangus syndactylus,1,0,0,0,0,0,0,1,
Equus hemionus,3,0,0,1,0,1,0,0,
Equus kiang,3,0,0,1,0,1,0,0,
Tapirus indicus,1,1,1,0,0,0,0,0,
Dicerorhinus sumatrensis,1,1,1,1,0,0,0,0,
Rhinoceros unicornis,2,0,0,1,0,1,0,0,
