MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	OO	ETH	LOPT
Aotus nancymaae	Aotus nancymaae	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Aotus trivirgatus	Aotus trivirgatus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Aotus vociferans	Aotus vociferans	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Ateles belzebuth	Ateles belzebuth	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Ateles chamek	Ateles chamek	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Ateles fusciceps	Ateles fusciceps	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Ateles hybridus	Ateles hybridus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Ateles marginatus	Ateles marginatus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Ateles paniscus	Ateles paniscus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Brachyteles arachnoides	Brachyteles arachnoides	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Brachyteles hypoxanthus	Brachyteles hypoxanthus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cacajao calvus	Cacajao calvus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cacajao melanocephalus	Cacajao melanocephalus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus baptista	Callicebus baptista	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus barbarabrownae	Callicebus barbarabrownae	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus brunneus	Callicebus brunneus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus cinerascens	Callicebus cinerascens	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus coimbrai	Callicebus coimbrai	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus cupreus	Callicebus cupreus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus donacophilus	Callicebus donacophilus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus hoffmannsi	Callicebus hoffmannsi	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus medemi	Callicebus medemi	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus melanochir	Callicebus melanochir	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus modestus	Callicebus modestus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus moloch	Callicebus moloch	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus nigrifrons	Callicebus nigrifrons	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus oenanthe	Callicebus oenanthe	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus olallae	Callicebus olallae	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus ornatus	Callicebus ornatus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus personatus	Callicebus personatus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus torquatus	Callicebus torquatus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus albifrons	Cebus albifrons	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus apella	Cebus apella	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus capucinus	Cebus capucinus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus kaapori	Cebus kaapori	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus libidinosus	Cebus libidinosus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus nigritus	Cebus nigritus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus olivaceus	Cebus olivaceus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Cebus xanthosternos	Cebus xanthosternos	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Chiropotes albinasus	Chiropotes albinasus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Chiropotes satanas	Chiropotes satanas	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Lagothrix cana	Lagothrix cana	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Lagothrix lagotricha	Lagothrix lagotricha	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Lagothrix lugens	Lagothrix lugens	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Pithecia aequatorialis	Pithecia aequatorialis	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Pithecia albicans	Pithecia albicans	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Pithecia irrorata	Pithecia irrorata	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Pithecia monachus	Pithecia monachus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Pithecia pithecia	Pithecia pithecia	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saguinus geoffroyi	Saguinus geoffroyi	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saguinus leucopus	Saguinus leucopus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saimiri boliviensis	Saimiri boliviensis	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saimiri oerstedii	Saimiri oerstedii	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saimiri sciureus	Saimiri sciureus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saimiri ustus	Saimiri ustus	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Saimiri vanzolinii	Saimiri vanzolinii	Primates	Cebidae	1	0	1	0	0	0	0	0	0	0	0
Allenopithecus nigroviridis	Allenopithecus nigroviridis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercocebus agilis	Cercocebus agilis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercocebus atys	Cercocebus atys	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercocebus chrysogaster	Cercocebus chrysogaster	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercocebus galeritus	Cercocebus galeritus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercocebus sanjei	Cercocebus sanjei	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercocebus torquatus	Cercocebus torquatus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus albogularis	Cercopithecus albogularis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus ascanius	Cercopithecus ascanius	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus campbelli	Cercopithecus campbelli	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus cephus	Cercopithecus cephus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus denti	Cercopithecus denti	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus diana	Cercopithecus diana	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus doggetti	Cercopithecus doggetti	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Cercopithecus dryas	Cercopithecus dryas	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus erythrogaster	Cercopithecus erythrogaster	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus erythrotis	Cercopithecus erythrotis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus hamlyni	Cercopithecus hamlyni	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus kandti	Cercopithecus kandti	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Cercopithecus lhoesti	Cercopithecus lhoesti	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus lowei	Cercopithecus lowei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Cercopithecus mitis	Cercopithecus mitis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus mona	Cercopithecus mona	Primates	Cercopithecidae	1	0	1	1	1	0	0	0	0	0	0
Cercopithecus neglectus	Cercopithecus neglectus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus nictitans	Cercopithecus nictitans	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus petaurista	Cercopithecus petaurista	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus pogonias	Cercopithecus pogonias	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus preussi	Cercopithecus preussi	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus roloway	Cercopithecus roloway	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Cercopithecus sclateri	Cercopithecus sclateri	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus solatus	Cercopithecus solatus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Cercopithecus wolfi	Cercopithecus wolfi	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Chlorocebus aethiops	Chlorocebus aethiops	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Chlorocebus cynosuros	Chlorocebus cynosuros	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Chlorocebus djamdjamensis	Chlorocebus djamdjamensis	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Chlorocebus pygerythrus	Chlorocebus pygerythrus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Chlorocebus sabaeus	Chlorocebus sabaeus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Chlorocebus tantalus	Chlorocebus tantalus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Colobus angolensis	Colobus angolensis	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Colobus guereza	Colobus guereza	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Colobus polykomos	Colobus polykomos	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Colobus satanas	Colobus satanas	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Colobus vellerosus	Colobus vellerosus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Erythrocebus patas	Erythrocebus patas	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Lophocebus albigena	Lophocebus albigena	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Lophocebus aterrimus	Lophocebus aterrimus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Lophocebus opdenboschi	Lophocebus opdenboschi	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca arctoides	Macaca arctoides	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca assamensis	Macaca assamensis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca cyclopis	Macaca cyclopis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca fascicularis	Macaca fascicularis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca fuscata	Macaca fuscata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca hecki	Macaca hecki	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca leonina	Macaca leonina	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca maura	Macaca maura	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca mulatta	Macaca mulatta	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca nemestrina	Macaca nemestrina	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca nigra	Macaca nigra	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca nigrescens	Macaca nigrescens	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca ochreata	Macaca ochreata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca pagensis	Macaca pagensis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca radiata	Macaca radiata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca siberu	Macaca siberu	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca silenus	Macaca silenus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca sinica	Macaca sinica	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca sylvanus	Macaca sylvanus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca thibetana	Macaca thibetana	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Macaca tonkeana	Macaca tonkeana	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Mandrillus leucophaeus	Mandrillus leucophaeus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Mandrillus sphinx	Mandrillus sphinx	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Miopithecus ogouensis	Miopithecus ogouensis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Miopithecus talapoin	Miopithecus talapoin	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Nasalis larvatus	Nasalis larvatus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Papio anubis	Papio anubis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Papio cynocephalus	Papio cynocephalus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Papio hamadryas	Papio hamadryas	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Papio papio	Papio papio	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Papio ursinus	Papio ursinus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Piliocolobus badius	Piliocolobus badius	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus foai	Piliocolobus foai	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus gordonorum	Piliocolobus gordonorum	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus kirkii	Piliocolobus kirkii	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus pennantii	Piliocolobus pennantii	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus preussi	Piliocolobus preussi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus rufomitratus	Piliocolobus rufomitratus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus tephrosceles	Piliocolobus tephrosceles	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Piliocolobus tholloni	Piliocolobus tholloni	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis chrysomelas	Presbytis chrysomelas	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Presbytis comata	Presbytis comata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Presbytis femoralis	Presbytis femoralis	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis frontata	Presbytis frontata	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis hosei	Presbytis hosei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis melalophos	Presbytis melalophos	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis natunae	Presbytis natunae	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Presbytis potenziani	Presbytis potenziani	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis rubicunda	Presbytis rubicunda	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Presbytis siamensis	Presbytis siamensis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Presbytis thomasi	Presbytis thomasi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Procolobus verus	Procolobus verus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Pygathrix cinerea	Pygathrix cinerea	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Pygathrix nemaeus	Pygathrix nemaeus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Pygathrix nigripes	Pygathrix nigripes	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Pygathrix roxellana	Pygathrix roxellana	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Rhinopithecus avunculus	Rhinopithecus avunculus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Rhinopithecus bieti	Rhinopithecus bieti	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Rhinopithecus brelichi	Rhinopithecus brelichi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Rhinopithecus roxellana	Rhinopithecus roxellana	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Semnopithecus ajax	Semnopithecus ajax	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Semnopithecus dussumieri	Semnopithecus dussumieri	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Semnopithecus entellus	Semnopithecus entellus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Semnopithecus hector	Semnopithecus hector	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Semnopithecus hypoleucos	Semnopithecus hypoleucos	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Semnopithecus priam	Semnopithecus priam	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Semnopithecus schistaceus	Semnopithecus schistaceus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Simias concolor	Simias concolor	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Theropithecus gelada	Theropithecus gelada	Primates	Cercopithecidae	1	0	1	0	1	1	0	0	0	1	0
Trachypithecus auratus	Trachypithecus auratus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus barbei	Trachypithecus barbei	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus cristatus	Trachypithecus cristatus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus delacouri	Trachypithecus delacouri	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus ebenus	Trachypithecus ebenus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus francoisi	Trachypithecus francoisi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus geei	Trachypithecus geei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus germaini	Trachypithecus germaini	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus hatinhensis	Trachypithecus hatinhensis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus johnii	Trachypithecus johnii	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus laotum	Trachypithecus laotum	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus obscurus	Trachypithecus obscurus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus phayrei	Trachypithecus phayrei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus pileatus	Trachypithecus pileatus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Trachypithecus poliocephalus	Trachypithecus poliocephalus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus shortridgei	Trachypithecus shortridgei	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	0	0	0
Trachypithecus vetulus	Trachypithecus vetulus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	0	0	0
Allocebus trichotis	Allocebus trichotis	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus adipicaudatus	Cheirogaleus adipicaudatus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus crossleyi	Cheirogaleus crossleyi	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus major	Cheirogaleus major	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus medius	Cheirogaleus medius	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus minusculus	Cheirogaleus minusculus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus ravus	Cheirogaleus ravus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Cheirogaleus sibreei	Cheirogaleus sibreei	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus berthae	Microcebus berthae	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus griseorufus	Microcebus griseorufus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus murinus	Microcebus murinus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus myoxinus	Microcebus myoxinus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus ravelobensis	Microcebus ravelobensis	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus rufus	Microcebus rufus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus sambiranensis	Microcebus sambiranensis	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Microcebus tavaratra	Microcebus tavaratra	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Mirza coquereli	Mirza coquereli	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Phaner electromontis	Phaner electromontis	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Phaner furcifer	Phaner furcifer	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Phaner pallescens	Phaner pallescens	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Phaner parienti	Phaner parienti	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	0	0	0
Daubentonia madagascariensis	Daubentonia madagascariensis	Primates	Daubentoniidae	1	0	1	0	0	0	0	0	0	0	0
Galago gallarum	Galago gallarum	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago senegalensis	Galago senegalensis	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago zanzibaricus	Galago zanzibaricus	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Otolemur crassicaudatus	Otolemur crassicaudatus	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Otolemur garnettii	Otolemur garnettii	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Euoticus elegantulus	Euoticus elegantulus	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Euoticus pallidus	Euoticus pallidus	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago alleni	Galago alleni	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago cameronensis	Galago cameronensis	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago demidoff	Galago demidoff	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago gabonensis	Galago gabonensis	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago granti	Galago granti	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago matschiei	Galago matschiei	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago moholi	Galago moholi	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago nyasae	Galago nyasae	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago orinus	Galago orinus	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago rondoensis	Galago rondoensis	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Galago thomasi	Galago thomasi	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Otolemur monteiri	Otolemur monteiri	Primates	Galagidae	1	0	1	0	0	0	0	0	0	0	0
Gorilla beringei	Gorilla beringei	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Gorilla gorilla	Gorilla gorilla	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Homo sapiens	Homo sapiens	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Pan paniscus	Pan paniscus	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Pan troglodytes	Pan troglodytes	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Pongo abelii	Pongo abelii	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Pongo pygmaeus	Pongo pygmaeus	Primates	Hominidae	1	0	1	0	0	0	0	0	0	0	0
Bunopithecus hoolock	Bunopithecus hoolock	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates agilis	Hylobates agilis	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates albibarbis	Hylobates albibarbis	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates concolor	Hylobates concolor	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates gabriellae	Hylobates gabriellae	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates klossii	Hylobates klossii	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates lar	Hylobates lar	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates leucogenys	Hylobates leucogenys	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates moloch	Hylobates moloch	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates muelleri	Hylobates muelleri	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Hylobates pileatus	Hylobates pileatus	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Nomascus concolor	Nomascus concolor	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Nomascus gabriellae	Nomascus gabriellae	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Nomascus hainanus	Nomascus hainanus	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Nomascus leucogenys	Nomascus leucogenys	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Nomascus siki	Nomascus siki	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
