LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,NBSP,RHO_LBL,PHI_LBL
23195,Tha Chang 1,15,102.333,12.85,11.2,4,2,85
23196,Tha Chang 2,15,102.333,7.1,5.3,16,2,75
23198,Sop Mae Tham,16.75,99,11.2,9.9,7,0,45
24048,Hang Mon I,20.936,104.37,23.03,20.44,8,2,85
24054,Li Mae Long,17.7128,98.9063888888889,17.2,16.4,34,0,45
24059,Mae Moh,18.2611,99.7042,13.363,13.183,11,0,45
24220,Tairum Nor,43.4147,113.1183,14.2,12.85,19,2,90
24468,Dongxiang-jiegou,35,103,7.2,5.3,5,2,65
24470,Fangxian,32.1,110.7,12.5,11.2,5,0,45
24471,Fugu-Laogaochuan-Wangdafuliang,39.229167,110.5213888,9.9,8.9,11,2,35
24472,Fu-Ku-Lok.51,39.229167,110.5213888888889,7.2,5.3,8,2,40
24474,Hsin-An-Loc.12,34.6,112.2,7.1,5.3,12,2,85
24475,Huade-Heishatou,42,114,7.2,5.3,6,2,15
24476,Huade-Tuchetse,42,114,7.2,5.3,12,2,5
24477,Jilong-Gyirong,28.8666666666667,85.1833333333333,7.1,5.333,12,0,45
24480,Jingmen-Yangjiaji-Dingjiapo,31,112,7.2,5.3,3,0,75
24482,Jungar-Yaogou,40,112,7.2,5.3,12,0,20
24485,Qingyang-Lok.115,36,108,7.1,5.3,14,2,5
24486,Qingyang-Lok.116,36,108,7.1,5.3,16,2,35
24487,Lantian-12,34.20935,109.194167,9.786,9.764333333333333,19,1,35
24490,Lantian-30,34.19944444444444,109.22694444444444,8.254,8.2053333333333,7,2,15
24492,Lantian-33,34.18388888888889,109.25,8.108,8.025400000000001,4,2,10
24496,Lantian-42,34.17916666666667,109.255,6.733,6.5845,12,2,5
24499,Lantian-gaopo-64004,34,109,12.5,11.2,3,2,55
24500,Lantian-shuijiazui-L1(s5),34.1,109.3,8.108,8.0254,9,2,65
24501,Lantian-shuijiazui-L4(s6),34.1,109.3,8.254,8.205333333333334,6,2,60
24504,Lantian-shuijiazui-s4,34.1,109.3,7.285,7.251,6,2,50
24505,Lanzhou-zhangjiaping,36,104,22.8,20,11,2,10
24511,Liuhe-lingyanshan,32,121,15.2,12.5,3,0,45
24513,Pao-Te-Lok.108,39.002183,111.165867,6.5845,6.436,18,2,85
24514,Pao-Te-Lok.109,38.98175,111.165368,7.2,5.3,14,2,90
24515,Pao-Te-Lok.110,39,111,7.2,5.3,12,2,65
24516,Pao-Te-Lok.30,38.985448,111.175645,5.767,5.501,29,2,95
24517,Pao-Te-Lok.31,39.023083,111.184867,7.14,6.9365,19,2,0
24518,Pao-Te-Lok.43,39.016049431281296,111.09194755554199,7.14,6.9365,22,2.5,30
24519,Pao-Te-Lok.44,39.026717,111.1861,7.2,5.3,19,2,5
24520,Pao-Te-Lok.49,39.00416666666667,111.17194444444443,7.14,6.9365,34,2,10
24521,Pao-Te-Lok.52,39,111,7.2,5.3,9,2,70
24522,Qinan-Chenggoucun,35,106,7.2,5.3,6,0,20
24524,Sihong-shuanggou,33.25,118.2,17.2,16.4,24,2,20
24525,Sihong-songlinzhuang,33.3,118.25,17.2,16.4,37,2,30
24528,Songshan-Loc.2,36.9647222222222,103.290555555556,7.1,5.3,22,2,15
24529,Songshan-Loc.3,36.9602777777778,103.279444444444,7.1,5.3,19,2,25
24531,Tongxin-dingjiaergou,37,106,15.2,12.5,13,2,90
24532,Tongxin-gujiazhuang,37,106,15.2,12.5,4,2,85
