LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,NOTES,NB_SPCS,LIST_SPCS
23194,Mae Soi,19.333,97.833,17.2,16.4,,5,Artiodactyla Anthracotheriidae indet. indet.;Artiodactyla Suidae indet. indet.;Artiodactyla Tragulidae indet. indet.;Perissodactyla Rhinocerotidae indet. indet.;Proboscidea Gomphotheriidae Archaeobelodon indet.
26453,Puzhen-zhutoushan,32.1666666666667,118.666666666667,20,17,,5,Artiodactyla Cervidae Dicrocerus elegans;Artiodactyla Cervidae Lagomeryx colberti;Artiodactyla Suidae Hyotherium indet.;Perissodactyla Rhinocerotidae Brachypotherium indet.;Proboscidea Mastodontidae indet. indet.
20623,Shanwang,32.0167,116.4917,17,15.2,,17,Artiodactyla Cervidae Lagomeryx colberti;Artiodactyla Cervidae Stephanocemas thomsoni;Artiodactyla Giraffidae indet. indet.;Artiodactyla Palaeomerycidae Palaeomeryx tricornis;Artiodactyla Suidae Bunolistriodon indet.;Artiodactyla Suidae Hyotherium youngi;Artiodactyla Suidae indet. indet.;Perissodactyla Chalicotheriidae Anisodon grande;Perissodactyla Rhinocerotidae Aceratherium indet.;Perissodactyla Rhinocerotidae Brachypotherium shanwangensis;Perissodactyla Rhinocerotidae Diaceratherium indet.;Perissodactyla Rhinocerotidae Plesiaceratherium gracile;Perissodactyla Rhinocerotidae Plesiaceratherium shanwangensis;Perissodactyla Rhinocerotidae indet. indet.;Perissodactyla Tapiridae Palaeotapirus xiejiaheensis;Perissodactyla Tapiridae Plesiotapirus yagii;Proboscidea Gomphotheriidae Gomphotherium indet.
24524,Sihong-shuanggou,33.25,118.2,17.2,16.4,,5,Artiodactyla Cervidae Dicrocerus indet.;Artiodactyla Cervidae Stephanocemas indet.;Artiodactyla Suidae indet. indet.;Artiodactyla Tragulidae Dorcatherium indet.;Proboscidea Stegodontidae Stegolophodon hueiheensis
24525,Sihong-songlinzhuang,33.3,118.25,17.2,16.4,,12,Artiodactyla Cervidae Dicrocerus indet.;Artiodactyla Cervidae Lagomeryx indet.;Artiodactyla Cervidae Stephanocemas indet.;Artiodactyla Giraffidae Palaeotragus indet.;Artiodactyla Hoplitomerycidae Amphimoschus indet.;Artiodactyla Moschidae Micromeryx indet.;Artiodactyla Suidae indet. indet.;Artiodactyla Tragulidae Dorcatherium orientale;Perissodactyla Equidae Anchitherium indet.;Primates Dionysopithecidae Dionysopithecus shuangouensis;Primates Dionysopithecidae Platodontopithecus jianghuaiensis;Proboscidea Stegodontidae Stegolophodon hueiheensis
28899,Tangkou fissure,31.089667,118.096167,19.097333333333335,17.131,,3,Artiodactyla Suidae Kubanochoerus indet.;Primates Crouzeliidae Fanchangia jini;Proboscidea Gomphotheriidae Platybelodon indet.
29079,Xuyu_dougoukuang,32.85,118.41666666666667,17.2,16.4,,4,Artiodactyla Cervidae indet. indet.;Artiodactyla Palaeomerycidae Palaeomeryx indet.;Perissodactyla Rhinocerotidae Plesiaceratherium indet.;Proboscidea Gomphotheriidae Gomphotherium indet.
26586,Zinda Pir (Vihowa),30.1,70.1,19.722,18.748,,13,Artiodactyla Anthracotheriidae Sivameryx indet.;Artiodactyla Bovidae Elachistoceras indet.;Artiodactyla Bovidae Eotragus noyei;Artiodactyla Bovidae Hypsodontus indet.;Artiodactyla Climacoceratidae Prolibytherium fusus;Artiodactyla Giraffidae Giraffokeryx indet.;Artiodactyla Suidae Listriodon indet.;Artiodactyla Suidae Sanitherium indet.;Artiodactyla Tragulidae Dorcatherium minimus;Perissodactyla Chalicotheriidae indet. indet.;Perissodactyla Rhinocerotidae indet. indet.;Proboscidea Deinotheriidae Deinotherium indet.;Proboscidea Gomphotheriidae Gomphotherium indet.

,Middle Miocene,,,15.5,11.056,,,
26583,Chaungtha,22.9166666666667,94.0833333333333,13.82,11.63,,5,Artiodactyla Bovidae indet. indet.;Artiodactyla Suidae Tetraconodon thailandicus;Artiodactyla Tragulidae Siamotragulus sanyathanai;Perissodactyla Rhinocerotidae Brachypotherium fatehjangense;Proboscidea Gomphotheriidae indet. indet.
23192,Chiang Muan_I,18.933,100.233,13.032,12.474,,7,Artiodactyla Bovidae indet. indet.;Artiodactyla Palaeochoeridae Pecarichoerus sminthos;Artiodactyla Suidae Parachleuastochoerus steinheimensis;Artiodactyla Tragulidae Dorcatherium indet.;Perissodactyla Rhinocerotidae Subchilotherium intermedium;Primates Hominidae Lufengpithecus chiangmuanensis;Proboscidea Gomphotheriidae Tetralophodon xiaolongtanensis
28737,Chibaerwoyi-East (XJULG1709)-3,46.61666666666667,88.5,15.5,11.63,,6,Artiodactyla Cervidae Stephanocemas thomsoni;Primates Pliopithecidae Pliopithecus indet.;Proboscidea Gomphotheriidae Gomphotherium connexum;Proboscidea Gomphotheriidae Gomphotherium steinheimense;Proboscidea Gomphotheriidae Platybelodon danovi;Proboscidea Mammutidae Zygolophodon indet.
28110,Damiao 01,42.0087222222222,111.580555555556,12.174,12.049,,5,Artiodactyla Cervidae Euprox alticus;Artiodactyla Cervidae Stephanocemas indet.;Artiodactyla Moschidae Micromeryx indet.;Primates Pliopithecidae Pliopithecus indet.;Proboscidea indet. indet. indet.
26568,Dang Valley,28,82.3333333333333,12.85,11.2,,9,Artiodactyla Anthracotheriidae Hemimeryx pusillus;Artiodactyla Bovidae Protragocerus gluten;Artiodactyla Suidae Sivachoerus sindiensis;Artiodactyla Tragulidae Dorcabune indet.;Artiodactyla Tragulidae Dorcatherium minus;Perissodactyla Rhinocerotidae Brachypotherium perimense;Primates Hominidae Sivapithecus punjabicus;Proboscidea Deinotheriidae Prodeinotherium pentapotamiae;Proboscidea Gomphotheriidae indet. indet.
